OBJECTID,RSPB_Reference,County,Incident_Type,Month,Year,Grid_Square,Details,More_Info_Here,Country,GlobalID,SHAPE_Length,SHAPE_Area
7159,97169,COUNTY DURHAM,Shooting,January,2014,NZ23,Species involved: Sparrowhawk x 1.,No Link,ENGLAND,{8CC12D58-07DD-4CA9-9E42-37483D9DCAF3},69185.4838234579,299163889.107715
7160,100082,TYRONE,Nest Destruction,May,2017,H44,Species involved: Hen harrier nest.,No Link,NORTHERN IRELAND,{B7A1085A-F2E2-4770-BBF6-797330F206A1},68555.6565684541,293741820.448803
7161,95385,HIGHLAND,Poisoning,March,2012,NM78,"Species involved: Golden eagle x 1. Tested positive for: Aldicarb, bendiocarb.",http://ww2.rspb.org.uk/our-work/rspb-news/news/317459-appeal-for-information-after-poisoned-golden-eagle-found-near-morar,SCOTLAND,{8CC427B8-D112-4FA4-A0B8-380E5E32508B},73132.2708637806,334269984.606063
7162,95307,LINCOLNSHIRE,Poisoning,May,2012,TA12,Species involved: Marsh harrier x 1. Tested positive for: Aldicarb.,No Link,ENGLAND,{A6AD99E9-E6F0-41B2-B4CB-B721366FE669},67526.7170848262,284990537.153166
7163,101373,WEST YORKSHIRE,Shooting,August,2020,SE13,Species involved: Peregrine falcon x 1. ,https://raptorpersecutionscotland.wordpress.com/2020/08/12/west-yorkshire-police-appeal-for-information-after-peregrine-shot-in-bingley/,ENGLAND,{9249FACD-C2AF-451B-AEAC-D1934CC2091D},67701.4362146786,286467222.006511
7164,95053,LONDONDERRY,Nest Destruction,June,2012,C83,Species involved: Sparrowhawk nest.,No Link,NORTHERN IRELAND,{2193F0F6-72BC-478C-A523-6AD6F013E836},69918.5696361056,305537337.746551
7165,99013,NORTH YORKSHIRE,Nest Destruction,May,2017,SE15,Species involved: Marsh harrier nest.,https://ww2.rspb.org.uk/community/ourwork/b/investigations/archive/2017/08/10/video-footage-shows-failed-marsh-harrier-nest-denton-moor-yorkshire.aspx,ENGLAND,{826E96FF-8961-4400-9F5E-4EB7440C1204},67991.9813944957,288931288.584517
7166,88517,WILTSHIRE,Shooting,March,2007,ST86,Species involved: Buzzard x 1.,No Link,ENGLAND,{FCC467CF-5442-4B39-BE80-40A7AC65CC10},64068.7315539024,256549584.779723
7167,102369,LEICESTERSHIRE,Shooting,May,2021,SP69,Species involved: Peregrine falcon x 1.,https://www.bbc.co.uk/news/uk-england-leicestershire-57029705,ENGLAND,{E9E09396-9A5B-4E7A-8CE4-E69F16AAD8A4},65744.344312172,270144367.022017
7168,97390,FIFE,Poisoning,April,2014,NT19,Species involved: Buzzard x 1. Tested positive for: Carbofuran.,No Link,SCOTLAND,{D7CE71D7-9E90-463B-B2F0-9AEC66A97D46},71721.3881040224,321496775.634012
7169,101044,NORTH YORKSHIRE,Shooting,May,2019,SE69,Species involved: Buzzard x 1. ,No Link,ENGLAND,{D2264D15-2580-4C45-8736-79603129887D},68572.8216640848,293888933.698789
7170,92691,DEVON,Poisoning,February,2009,SX98,Species targeted: Birds of prey. Species involved: Poison bait (pigeon) x 1. Tested positive for: Aldicarb.,No Link,ENGLAND,{3EB65254-EC7B-4436-A340-A0681E63C737},63066.5778994757,248586510.144237
7171,93674,PERTH AND KINROSS,Poisoning,December,2010,NH82,Species involved: Red kite x 1. Tested positive for: Alphachloralose.,No Link,SCOTLAND,{2F45A796-C042-493D-8252-E8E81BFDAFA2},73955.5729104425,341838589.356908
7172,91467,ANGUS,Poisoning,March,2009,NO46,Species involved: Buzzard x 1. Tested positive for: Carbofuran.,No Link,SCOTLAND,{906AC2E6-5B7B-45CA-9DCC-3BE55266437E},72925.801468031,332385207.065319
7173,100446,NORTH YORKSHIRE,Illegal Trapping (Other),May,2019,SD99,Species involved: Tawny owl x 1.,No Link,ENGLAND,{AAE89186-F1C5-46FA-83F8-396AFBC9DDBF},68583.1573477044,293977534.013564
7174,99372,NORTH YORKSHIRE,Shooting,September,2017,SE65,Species involved: Buzzard x 1.,No Link,ENGLAND,{C3C5F1C1-BDF9-417C-989D-3F67F7549193},67982.3808403217,288849699.003693
7175,100265,DUMFRIES AND GALLOWAY,Poisoning,April,2018,NX76,Species involved: Red kite x 1. Tested positive for: Withheld.,https://www.bbc.co.uk/news/uk-scotland-south-scotland-43974763,SCOTLAND,{4BBDF86C-8B8B-421F-8882-077095AB3EA6},69608.3055075394,302831701.00676
7176,95855,FIFE,Illegal Pole/Spring Trapping,July,2013,NO11,Species targeted: Birds of prey.,No Link,SCOTLAND,{B29B1C55-CBEB-47E0-B242-7CF70B1EAB8E},72057.0497386528,324513080.467085
7177,90082,HEREFORDSHIRE,Shooting,July,2008,SO73,Species involved: Peregrine falcon x 1.,No Link,ENGLAND,{E3613769-0D0F-43A9-B3B1-E276A0F621FA},64960.5485385375,263741494.093177
7178,95029,LANCASHIRE,Nest Destruction,June,2012,SD64,Species involved: Peregrine falcon x 3 (nest).,No Link,ENGLAND,{FCB57E74-91C3-4E02-95DA-B810E74CE556},67843.8948797551,287674072.286389
7179,99496,EAST LOTHIAN,PersecutionOther,March,2017,NT66,Species targeted: Birds of prey.,No Link,SCOTLAND,{8E68E855-9FBC-48A1-8101-AB06101295C6},71241.6781280101,317210477.814985
7180,91026,CAMBRIDGESHIRE,Poisoning,August,2008,TL64,"Species targeted: Birds of prey. Species involved: Dog x 1; poison bait (partridge) x 1. Tested positive for: Mevinphos.",No Link,ENGLAND,{FE5D9E1E-8BD2-413E-9FAA-E7F37E1D174E},65034.7261117983,264344163.602412
7181,96950,CAMBRIDGESHIRE,Shooting,November,2014,TL47,Species involved: Buzzard x 1.,No Link,ENGLAND,{F661D939-7D3E-4BE4-80A5-97D148348924},65441.7354826273,267663236.31137
7182,93213,NORTH YORKSHIRE,Shooting,September,2010,SE17,Species involved: Buzzard x 1.,No Link,ENGLAND,{615CDAF4-B7FF-4DBD-BDD3-AE3060D9E053},68285.7116070692,291433093.022158
7183,94020,SOUTH YORKSHIRE,Shooting,March,2011,SK29,Species involved: Buzzard x 1.,No Link,ENGLAND,{3494D0A5-4C23-495A-A8D6-FFAC2F180A73},67128.796645329,281641651.682776
7184,94225,CORNWALL,Poisoning,July,2011,SW33,Species involved: Peregrine falcon x 2. Tested positive for: Carbofuran.,No Link,ENGLAND,{4656BC27-C853-4114-8BDF-C439FEDBE383},62363.5340140624,243075073.738838
7185,96340,ANGUS,PersecutionOther,April,2013,NO54,Species targeted: Birds of prey. Possession of: Carbofuran.,No Link,SCOTLAND,{C3276E1D-EDE0-499A-964C-4F7D62A68A8F},72583.0874324106,329268463.113893
7186,93146,LEICESTERSHIRE,Illegal Pole/Spring Trapping,August,2010,SP79,Species targeted: Birds of prey.,No Link,ENGLAND,{329D7171-26B5-4D5A-91CD-7B0CFC1CDB31},65741.3022889213,270119368.034028
7187,101713,WILTSHIRE,PersecutionOther,August,2020,SU06,Species involved: Buzzard x 1. ,https://community.rspb.org.uk/ourwork/b/investigations/posts/community-order-for-gamekeeper-after-birds-of-prey-found-down-wiltshire-well,ENGLAND,{F2934D37-5F50-456A-A13A-8BEF37C65528},64069.143370925,256552882.879002
7188,91277,SOMERSET & AVON,Poisoning,September,2008,ST23,"Species involved: Buzzard x 1; poison bait (pheasant) x 1. Tested positive for: Carbofuran.",No Link,ENGLAND,{3FD2FA7C-CE33-47AC-BD75-A3F459F9CBDD},63685.2680164171,253487770.413695
